trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-183.8221262154207,"{0: 14, 1: 6, 2: 7, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-44.6995231206544,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-9.797490792519323,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-90.7141272935914,"{0: 10, 1: 6, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-187.71258791199398,"{0: 15, 1: 3, 2: 9, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-53.427737457732746,"{0: 21, 1: 4, 2: 4, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-38.437629000465655,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-165.27355690283056,"{0: 22, 1: 2, 2: 2, 3: 0, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,8,-57.1988326304863,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,6,-51.822624637573696,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,11,-132.57936731527187,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 3}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,2,-32.34767958796172,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-23.50152519842672,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-9.648580907606874,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,1,-3.7310097764135586,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,8,10.595682884499501,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,4,17.44897090372458,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,14,7.006330835352948,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,16,17.72814925078923,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,26.96736071593571,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,13,-30.769994503409936,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",20,15,11.012581740057628,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,13,12.796757476754651,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,18,11.834536298322218,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,12,15.268387844279152,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",35,21,6.073301543579173,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,13,13.100842278466025,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,13,11.023368288241624,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,-9.64634909283538,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,8,19.31025351087766,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
