trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9801}",20,0,-194.76428858943882,"{0: 11, 1: 3, 2: 1, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.970299}",20,0,-172.16495843923184,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.96059601}",20,2,-35.75074792533047,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.9509900498999999}",20,9,-20.53363189364017,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.941480149401}",20,0,-53.63074611243472,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9320653479069899}",25,0,-209.18417731861848,"{0: 11, 1: 2, 2: 7, 3: 3, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9227446944279201}",20,0,-66.61259465613831,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9135172474836408}",20,0,-114.16914954119748,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9043820750088044}",20,0,-152.03235489658383,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.8953382542587164}",20,0,-82.46534512695965,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8863848717161292}",25,0,-139.1799968600022,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8775210229989678}",20,0,-36.12748081917705,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.8687458127689782}",25,0,-140.26196025741584,"{0: 12, 1: 7, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.8600583546412884}",30,2,-150.1352692829904,"{0: 17, 1: 3, 2: 5, 3: 1, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.8514577710948755}",30,0,-81.87986893119884,"{0: 19, 1: 3, 2: 7, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.8429431933839268}",30,0,-177.48551613403782,"{0: 21, 1: 1, 2: 4, 3: 0, 4: 4}",0
17,False,"{'a': 0.5, 'e': 0.8345137614500875}",30,0,-94.2218968181188,"{0: 24, 1: 2, 2: 1, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.8261686238355866}",20,0,-28.609528237957008,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.8179069375972308}",20,0,-64.63651164468256,"{0: 12, 1: 7, 2: 0, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8097278682212584}",20,0,0.8011658871812407,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.8016305895390459}",20,0,-140.57661474974185,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
22,False,"{'a': 0.5, 'e': 0.7936142836436554}",20,0,-15.9597396055475,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.7856781408072188}",25,10,-1.1089330637867425,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.7778213593991467}",25,0,-144.31542025624987,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.7700431458051551}",20,5,-13.877650738621222,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.7623427143471035}",20,14,-8.305939950316468,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.7547192872036325}",30,11,-35.157959057922646,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
28,False,"{'a': 0.5, 'e': 0.7471720943315961}",25,0,-155.0782133711877,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
29,False,"{'a': 0.5, 'e': 0.7397003733882802}",20,0,-77.89381288778448,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.7323033696543975}",25,19,10.802411608419593,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.7249803359578535}",30,0,-148.9229252482185,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.7177305325982749}",25,0,-186.51496912511084,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
33,False,"{'a': 0.5, 'e': 0.7105532272722921}",20,0,-48.65028207396932,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.7034476949995692}",20,0,-95.80310098560803,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.6964132180495735}",20,0,-108.34017486901803,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.6894490858690778}",20,3,-64.42708718365671,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 1}",1
37,False,"{'a': 0.5, 'e': 0.682554595010387}",30,0,-150.07077173459223,"{0: 21, 1: 0, 2: 5, 3: 2, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.6757290490602831}",25,6,-44.59423961735166,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.6689717585696803}",25,4,-35.33232632015985,"{0: 16, 1: 0, 2: 4, 3: 1, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.6622820409839835}",25,14,-35.96911216124567,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
41,False,"{'a': 0.5, 'e': 0.6556592205741436}",20,0,-42.718088670065406,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.6491026283684022}",20,0,-37.51994214233902,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.6426116020847181}",20,8,-103.09606217936934,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 2}",1
44,False,"{'a': 0.5, 'e': 0.6361854860638709}",30,17,-40.69589872387348,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
45,False,"{'a': 0.5, 'e': 0.6298236312032323}",25,0,-48.4016914818717,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.6235253948912}",25,0,-26.583315064493306,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.617290140942288}",20,0,2.4621931724328463,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.611117239532865}",30,0,-140.21074568430535,"{0: 21, 1: 0, 2: 5, 3: 2, 4: 2}",0
49,False,"{'a': 0.5, 'e': 0.6050060671375364}",20,0,-9.508415211899369,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.598956006466161}",30,18,19.817977611878433,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.5929664464014994}",25,3,-47.52579170609446,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 1}",1
52,False,"{'a': 0.5, 'e': 0.5870367819374844}",25,11,13.507536625181167,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.5811664141181095}",20,0,-114.13089438209961,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
54,False,"{'a': 0.5, 'e': 0.5753547499769285}",20,13,-9.561672210607739,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.5696012024771592}",20,10,-28.33260207389675,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.5639051904523875}",25,7,-86.70589500667735,"{0: 10, 1: 4, 2: 2, 3: 1, 4: 1}",1
57,False,"{'a': 0.5, 'e': 0.5582661385478637}",20,8,-31.067648900468456,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
58,False,"{'a': 0.5, 'e': 0.5526834771623851}",20,0,-54.20947294531254,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.5471566423907612}",25,15,-5.395728869101333,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.5416850759668536}",25,7,22.62893618942197,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.536268225207185}",25,0,-67.4668177311311,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
62,False,"{'a': 0.5, 'e': 0.5309055429551132}",20,8,-13.955529189332763,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.525596487525562}",25,5,-39.78128462891175,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.5203405226503064}",20,0,-20.492261778181163,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.5151371174238033}",20,6,-22.659248372423022,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.5099857462495653}",25,0,-45.04718548005994,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.5048858887870696}",20,6,-4.550426628283998,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.4998370298991989}",25,16,14.88892828621268,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.49483865960020695}",25,0,-58.96724941280687,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.4898902730042049}",20,5,-30.212961529814027,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
71,False,"{'a': 0.5, 'e': 0.48499137027416284}",30,0,-121.36567485775339,"{0: 24, 1: 0, 2: 2, 3: 1, 4: 3}",0
72,False,"{'a': 0.5, 'e': 0.4801414565714212}",30,2,-4.5709024732231835,"{0: 26, 1: 1, 2: 0, 3: 0, 4: 1}",1
73,False,"{'a': 0.5, 'e': 0.47534004200570695}",30,12,-15.422030211035512,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.4705866415856499}",20,0,-49.924269149260255,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.46588077516979337}",20,0,-17.187359092069087,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.46122196741809546}",20,0,3.7960246179228325,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.4566097477439145}",25,7,-82.798243448301,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 2}",1
78,False,"{'a': 0.5, 'e': 0.45204365026647536}",30,0,-23.06540158270828,"{0: 26, 1: 2, 2: 1, 3: 0, 4: 1}",1
79,False,"{'a': 0.5, 'e': 0.4475232137638106}",35,22,7.1081948350111706,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.4430479816261725}",20,8,22.457802396474854,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.43861750180991077}",25,0,-38.57197847184957,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.43423132679181164}",20,0,-21.11919043941214,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.4298890135238935}",20,13,4.240877308543046,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.4255901233886546}",25,13,10.015361484428176,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.421334222154768}",30,16,0.8148463234622594,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.41712087993322033}",25,8,-28.908696872666507,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.41294967113388814}",20,5,-32.12825230949147,"{0: 9, 1: 2, 2: 4, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.40882017442254925}",20,8,-3.815324049117966,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.4047319726783238}",20,12,3.218565068077184,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.40068465295154054}",20,8,13.254139891867254,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.3966778064220251}",30,0,-89.88784918629659,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
92,False,"{'a': 0.5, 'e': 0.39271102835780486}",25,12,-8.654963593727183,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.3887839180742268}",25,8,-36.17324631796502,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
94,False,"{'a': 0.5, 'e': 0.38489607889348454}",25,9,-46.46532487052991,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 1}",1
95,False,"{'a': 0.5, 'e': 0.38104711810454966}",20,15,7.938726295336938,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.37723664692350417}",25,3,-7.723243426486269,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
97,False,"{'a': 0.5, 'e': 0.37346428045426916}",30,5,27.921057488831693,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.36972963764972644}",25,0,-27.939250562492408,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
99,False,"{'a': 0.5, 'e': 0.3660323412732292}",20,0,-36.925269587135006,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
100,False,"{'a': 0.5, 'e': 0.3623720178604969}",20,10,-6.127234361277255,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.3587482976818919}",25,15,-2.336747536012744,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.355160814705073}",25,10,24.751471779581387,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.35160920655802225}",25,5,4.701783057734254,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.348093114492442}",25,0,-62.16330955363774,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
105,False,"{'a': 0.5, 'e': 0.3446121833475176}",25,0,-81.70778993770762,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
106,False,"{'a': 0.5, 'e': 0.34116606151404244}",25,12,2.987163356333018,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.337754400898902}",20,0,4.923287493843379,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.334376856889913}",30,19,3.7216062751900827,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.33103308832101386}",30,22,9.520989631259548,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.3277227574378037}",20,0,-28.090815154362478,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
111,False,"{'a': 0.5, 'e': 0.3244455298634257}",20,2,-0.3491704827041895,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.3212010745647914}",30,22,11.019221630599466,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.3179890638191435}",25,9,20.64293508669516,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.31480917318095203}",25,13,6.847180716743869,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.3116610814491425}",20,9,-25.026428531246623,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
