trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-51.372004453854785,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.3683428803735,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",35,13,-108.34279027154015,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 2}",1
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-110.0520612295837,"{0: 12, 1: 4, 2: 8, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-135.858733507679,"{0: 13, 1: 6, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,11,-17.1526064353324,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-148.7542787250195,"{0: 15, 1: 5, 2: 8, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-110.12294980077196,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-88.25820754340155,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-52.04393163264981,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.54088986877348,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.24601527727992,"{0: 8, 1: 5, 2: 5, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.39361549318912,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-147.23764407790418,"{0: 16, 1: 7, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-165.3483857839461,"{0: 19, 1: 4, 2: 4, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-105.99144556221894,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-97.5405210995893,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-223.82833270444712,"{0: 15, 1: 3, 2: 8, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,7,-38.93698158156047,"{0: 8, 1: 0, 2: 5, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 1.0}",35,0,-189.32693403251668,"{0: 21, 1: 7, 2: 2, 3: 2, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-102.55414826017035,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-134.85026546597504,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-205.30040280883867,"{0: 10, 1: 0, 2: 6, 3: 0, 4: 4}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,6,-96.5614529628551,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 2}",1
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-144.58637792121937,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-82.64481764037718,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-95.52474448072526,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",1
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-134.24973583142344,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,10,-113.4841671286143,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 2}",1
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-149.80773901946742,"{0: 8, 1: 5, 2: 5, 3: 0, 4: 2}",0
